,GameId,Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,StartTime,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore,longitude,latitude
106,2012R1305,2012,R13,24/6/2012,15.7,7.1,0.0,M.C.G.,3:15 pm,"20,070",Melbourne,6.1,11.4,18.8,20.15,135,Greater Western Sydney,5.1,6.2,6.2,9.3,57,144.983032,-37.818439
107,2012R1306,2012,R13,24/6/2012,15.7,7.1,0.0,Docklands,4:40 pm,"18,866",North Melbourne,6.6,10.1,13.14,17.19,121,Adelaide,3.2,4.5,9.8,13.11,89,144.94846,-37.81835
108,2012R1401,2012,R14,29/6/2012,14.4,9.9,0.0,M.C.G.,7:50 pm,"65,047",Carlton,3.2,6.2,7.6,10.1,70,Hawthorn,7.4,10.7,16.1,18.12,120,144.983032,-37.818439
109,2012R1402,2012,R14,30/6/2012,12.2,6.6,2.2,M.C.G.,1:45 pm,"44,891",Collingwood,3.2,6.7,10.13,15.17,107,Fremantle,0.2,2.6,6.6,12.6,78,144.983032,-37.818439
110,2012R1403,2012,R14,30/6/2012,13.5,8.6,6.0,Football Park,1:40 pm,"33,780",Adelaide,3.0,8.1,11.2,17.4,106,Richmond,8.3,10.4,11.7,13.9,87,149.11195,-35.24852
111,2012R1404,2012,R14,30/6/2012,20.2,5.4,0.0,Subiaco,2:40 pm,"34,592",West Coast,8.3,11.5,17.11,25.16,166,Gold Coast,2.3,4.8,5.9,5.1,40,115.82576,-31.94447
112,2012R1405,2012,R14,30/6/2012,12.2,6.6,2.2,Docklands,7:40 pm,"40,824",Essendon,7.5,12.7,15.1,21.14,140,Western Bulldogs,1.2,3.5,6.7,8.8,56,144.94846,-37.81835
113,2012R1406,2012,R14,30/6/2012,19.7,6.2,0.0,Stadium Australia,7:40 pm,"22,565",Sydney,3.4,8.6,14.1,19.18,132,Greater Western Sydney,1.2,2.5,4.7,5.8,38,153.091843,-30.324051
114,2012R1407,2012,R14,1/7/2012,11.7,5.7,1.2,Kardinia Park,1:10 pm,"13,736",Geelong,3.4,6.8,9.1,14.15,99,Port Adelaide,2.3,2.7,6.9,8.13,61,117.797531,-22.69459
115,2012R1408,2012,R14,1/7/2012,23.4,9.8,0.0,Gabba,3:15 pm,"22,144",Brisbane Lions,6.1,9.6,13.11,18.14,122,Melbourne,3.6,3.8,4.11,8.13,61,145.6925,-36.2155
